"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"3507","2686","RUE","DELESSEUX",0,"",9999,"","i","Ecole maternelle 11 - 17 RUE GEORGES THILL - PARIS 19"
"3508","2686","RUE","DELESSEUX",0,"",9999,"","p","Ecole maternelle 11 - 17 RUE GEORGES THILL - PARIS 19"
"3509","2689","IMPASSE","DELIGNY",0,"",9999,"","i","Ecole maternelle 44 RUE DES EPINETTES - PARIS 17"
"3510","2689","IMPASSE","DELIGNY",0,"",9999,"","p","Ecole maternelle 44 RUE DES EPINETTES - PARIS 17"
"3511","2691","VILLA","DELODER",0,"",9999,"","i","Ecole maternelle 11 RUE AUGUSTE PERRET - PARIS 13"
"3512","2691","VILLA","DELODER",0,"",9999,"","p","Ecole maternelle 11 RUE AUGUSTE PERRET - PARIS 13"
"3513","2693","RUE","DELOUVAIN",0,"",9999,"","i","Ecole maternelle 1 RUE DE PALESTINE - PARIS 19"
"3514","2693","RUE","DELOUVAIN",0,"",9999,"","p","Ecole maternelle 1 RUE DE PALESTINE - PARIS 19"
"3515","2695","RUE DU","DELTA",0,"",9999,"","i","Ecole maternelle 68 RUE DE ROCHECHOUART - PARIS 09"
"3516","2695","RUE DU","DELTA",0,"",9999,"","p","Ecole maternelle 68 RUE DE ROCHECHOUART - PARIS 09"
"3517","2697","RUE","DEMARQUAY",0,"",9999,"","i","Ecole maternelle 49 RUE LOUIS BLANC - PARIS 10"
"3518","2697","RUE","DEMARQUAY",0,"",9999,"","p","Ecole maternelle 49 RUE LOUIS BLANC - PARIS 10"
